案号,案由,命中罪名类别,命中关键词,犯罪人的年龄,受教育程度,案件地点,涉案金额_元,案件严重程度,审判时间,罚金金额_元
（2017）桂0521民初290号,,危害税收征管罪,税,,,广西壮族自治区合浦县,,,2017-01-18,
（2016）苏01刑终608号,合同诈骗,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,高中,户籍地江苏省,237120.0,较重,2017-01-18,100000.0
（2016）苏0505民初5635号,公司债券回购合同纠纷,妨害对公司企业的管理秩序罪,债券,,,住所地江苏省,30754.0,,2017-01-19,
（2015）深福法民四初字第518号,竞业限制纠纷,妨害对公司企业的管理秩序罪|侵犯知识产权罪,商业秘密|欺诈|知识产权,,,住址广东省,91000000.0,严重,2017-01-05,
（2015）深福法民四初字第1629号,追索劳动报酬纠纷,妨害对公司企业的管理秩序罪,债券,,,住址哈尔滨市,50000000.0,,2017-01-05,
（2016）浙07民初648号,侵害发明专利权纠纷,侵犯知识产权罪,知识产权,,,浙江省,500000.0,,2017-01-16,
（2017）黔02刑终21号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,贵州省,1500.0,,2017-01-18,1500.0
（2017）皖1623执恢51号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省利辛县,25107.0,,2017-01-11,
（2016）皖1821执1194号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,175210.0,,2017-01-03,
（2016）闽民终1361号,侵害商标权纠纷,危害税收征管罪,税,,,住所地广东省,3400.0,,2017-01-13,
（2017）甘0302刑初3号,信用卡诈骗,金融诈骗罪,诈骗,,初中,甘肃省,30000.0,,2017-01-23,
（2016）鲁0281民初4632号,继承纠纷,妨害对公司企业的管理秩序罪,欺诈,,,山东省,120000.0,,2017-01-09,
（2016）桂1029刑初126号,诈骗,金融诈骗罪,诈骗,,,广西壮族自治区,,,2017-01-20,
（2017）黔0382刑初22号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,户籍地贵州省,600.0,,2017-01-12,3000.0
（2016）苏0111民初216号,房屋租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,江苏省,100000.0,严重,2017-01-04,
（2016）豫0402民初1220号,民间借贷纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所北京市,107304.0,严重,2017-01-20,
（2017）琼9023刑初16号,走私、贩卖、运输、制造毒品,走私罪,走私,,,海南省,370.0,情节严重,2017-01-23,1000.0
（2017）桂1424刑初4号,,走私罪,走私,,初中,广西壮族自治区大新县,100.0,情节严重,2017-01-18,3000.0
（2016）闽0402执异30号,,危害税收征管罪,税,,,住所地三明市,150000.0,,2017-01-23,
（2016）粤0304民初19667号,合同纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,欺诈|税,,,住所地深圳市,157596323.0,较重,2017-01-19,
（2016）浙0205民初4417号,机动车交通事故责任纠纷,危害税收征管罪,税,,,宁波市江北区,470.0,,2017-01-12,
（2016）豫1623刑初358号,非法经营,金融诈骗罪|扰乱市场秩序罪,诈骗|非法经营,,小学,河南省,20380000.0,特别严重,2017-01-13,1500000.0
（2016）云3124刑初225号,走私、贩卖、运输、制造毒品,走私罪,走私,,,云南省陇川县,3000.0,,2017-01-23,3000.0
（2017）赣01刑更63号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,江西省,500000.0,,2017-01-25,
（2016）浙0602民初10812号,房屋买卖合同纠纷,危害税收征管罪,税,,,住所地宁波市,749433.0,,2017-01-18,
（2016）苏1182民初3896号,债权转让合同纠纷,危害税收征管罪,税,,,住所地江苏省,6815000.0,,2017-01-18,
（2016）云0502刑初617号,非法经营,扰乱市场秩序罪,非法经营,,小学,云南省,187657.0,情节严重,2017-01-13,35000.0
（2017）浙0602民初541号,信用卡纠纷,金融诈骗罪,诈骗,,,浙江省绍兴市越城区,10000.0,数额较大,2017-01-17,
（2016）沪民终228号,证券内幕交易责任纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,税|股票,,,上海市,523285668.0,,2017-01-20,
（2016）闽0703刑初355号,强迫交易,妨害对公司企业的管理秩序罪|扰乱市场秩序罪,债券|强迫交易,,初中,福建省,5000.0,情节严重,2017-01-10,5000.0
（2016）粤0306民初4354号,离婚后财产纠纷,妨害对公司企业的管理秩序罪,欺诈,,,户籍地址广东省,373971.0,,2017-01-18,
（2016）辽0211民初2151号,民间借贷纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,欺诈|税,,,大连市,398329.0,,2017-01-18,
（2016）豫1421民初3088号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地河南省,245576.0,严重,2017-01-25,
（2016）苏04刑更4180号,走私、贩卖、运输、制造毒品,走私罪,走私,,,江苏省,,,2017-01-05,
（2016）浙01民终7973号,侵害商标权纠纷,侵犯知识产权罪,知识产权,,,住所地北京市,205000.0,严重,2017-01-13,
（2017）琼02执3号,,妨害对公司企业的管理秩序罪|危害税收征管罪,债券|税|股票,,,海南省三亚市,843444.0,,2017-01-16,
（2017）新2325民初617号,建设工程施工合同纠纷,危害税收征管罪,税,,中学,住所地新疆维吾尔自治区,8774843.0,,2017-01-06,
（2017）川0104刑初9号,走私、贩卖、运输、制造毒品,走私罪,走私,,,四川省成都市锦江区,100.0,情节严重,2017-01-06,2000.0
（2016）晋01民终3566号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地太原市,300000.0,,2017-01-20,
（2017）内0625民初2503号,合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地内蒙古巴彦淖尔市,25000000.0,,2017-01-02,
（2017）内0625民初509号,借款合同纠纷,贪污贿赂罪,挪用资金,,,住所地内蒙古自治区,139542.0,,2017-01-30,
（2017）新0102刑初4号,,金融诈骗罪,诈骗,,高中,新疆维吾尔自治区,115085.0,数额较大,2017-01-16,40000.0
（2017）浙08民初24号,著作权权属、侵权纠纷,侵犯知识产权罪,著作权,,,浙江省衢州市,150.0,,2017-01-24,
（2017）甘1022刑初8号,走私、贩卖、运输、制造毒品,走私罪,走私,,,甘肃省,2000.0,,2017-01-22,2000.0
（2016）粤1302民初3822号,金融借款合同纠纷,危害税收征管罪,税,,,广东省惠州市惠城区,200000.0,严重,2017-01-22,
（2016）吉0106民初2355号,借款合同纠纷,金融诈骗罪,诈骗,,,住址吉林省,3540000.0,,2017-01-03,
（2016）粤0306民初5386号,损害公司利益责任纠纷,危害税收征管罪,税,,,住所地深圳市,1000000.0,,2017-01-10,
（2015）苏0509民初9292号,金融借款合同纠纷,破坏金融管理秩序罪,外汇,,,住所地苏州市,1040000.0,严重,2017-01-09,
（2016）黑0204民初157号,离婚纠纷,妨害对公司企业的管理秩序罪|侵犯知识产权罪,债券|知识产权|股票,,,住所地黑龙江省,430000.0,严重,2017-01-12,
（2016）沪0104民初31502号,机动车交通事故责任纠纷,危害税收征管罪,税,,,上海市,1000000.0,,2017-01-20,
（2016）湘1227刑初139号,走私、贩卖、运输、制造毒品,走私罪|危害税收征管罪,税|走私,,,湖南省新晃侗族自治县,20000.0,,2017-01-12,10000.0
（2016）浙07民终4706号,民间借贷纠纷,妨害对公司企业的管理秩序罪,股票,,,浙江省金华市,8350000.0,,2017-01-06,
（2016）皖0881执942号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,35762.0,,2017-01-05,
（2016）苏0411民初3854号,买卖合同纠纷,危害税收征管罪,税,,,住所地江苏省,72000.0,,2017-01-04,
（2017）粤0983民初395号,分家析产纠纷,危害税收征管罪,税,,,广东省,91000.0,,2017-01-17,
（2017）闽0212刑初4号,走私、贩卖、运输、制造毒品,走私罪,走私,,,户籍地陕西省,200.0,情节严重,2017-01-10,2000.0
（2016）鲁0181民初7124号,买卖合同纠纷,危害税收征管罪,税,,,住所地章丘市,207553.0,,2017-01-14,
（2016）浙0411刑初576号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|行贿|贪污|贿赂,,大专,户籍地浙江省,120000.0,数额巨大,2017-01-25,450000.0
（2017）闽0423执20号,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地福建省,18446758.0,,2017-01-16,
（2017）闽0122执1381号,,破坏金融管理秩序罪,非法吸收公众存款,,,福建省,61800.0,,2017-01-29,50000.0
（2016）湘0381民初2218号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地长沙市,200000.0,严重,2017-01-15,
（2016）浙04执异16号,,危害税收征管罪,税,,,浙江省嘉兴市,1600000.0,,2017-01-18,
（2016）浙1082民初10444号,信用卡纠纷,危害税收征管罪,税,,,浙江省,6346.0,,2017-01-03,
（2017）沪0113执171号,,妨害对公司企业的管理秩序罪,债券|股票,,,户籍地安徽省,245275.0,,2017-01-12,
（2016）沪0112执8888号,,妨害对公司企业的管理秩序罪,债券|股票,,,上海市,71736.0,,2017-01-13,
（2017）沪0113执56号,,妨害对公司企业的管理秩序罪,债券|股票,,,户籍地上海市,114088.0,,2017-01-24,
（2016）浙0110民初14091号,著作权权属、侵权纠纷,侵犯知识产权罪,著作权,,,杭州市余杭区,2300.0,,2017-01-23,
（2016）鲁0323民初2749号,买卖合同纠纷,危害税收征管罪,税,,,住所地沂源县,1643364.0,,2017-01-19,
（2016）闽民终1285号,债权人代位权纠纷,妨害对公司企业的管理秩序罪|金融诈骗罪|危害税收征管罪,税|虚报注册资本|诈骗,,,福建省,24873925.0,严重,2017-01-12,
（2017）闽0203刑初49号,伪造、变造、买卖国家机关公文、证件、印章,金融诈骗罪,诈骗,,初中,户籍地福建省,,情节严重,2017-01-12,1000.0
（2016）桂0103刑初632号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广西壮族自治区南宁市青秀区,300.0,,2017-01-24,2000.0
（2016）陕0627民初531号,,危害税收征管罪,税,,,陕西省甘泉县,2683000.0,,2017-01-20,
（2016）皖0103民初8117号,进出口代理合同纠纷,侵犯知识产权罪,知识产权,,,住所地安徽省,1305000.0,,2017-01-22,
（2017）沪72执20号,,妨害对公司企业的管理秩序罪,债券|股票,,,江苏省泰州市泰兴市,898934.0,,2017-01-10,
（2016）浙0205民初4513号,买卖合同纠纷,危害税收征管罪,税,,,宁波市江北区,92008.0,,2017-01-25,
（2016）沪0112民初4332号,房屋租赁合同纠纷,危害税收征管罪,税,,,上海市,8500000.0,严重,2017-01-10,
（2016）皖0103民初6943号,房屋租赁合同纠纷,危害税收征管罪,税,,,安徽省,1158000.0,,2017-01-17,
（2016）辽0213民初2546号,,危害税收征管罪,税,,,大连市,76260.0,,2017-01-18,
（2016）赣0427民初1079号,商品房预售合同纠纷,危害税收征管罪,税,,,江西省庐山市,7784.0,,2017-01-09,
（2016）湘0524刑初446号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,湖南省,200.0,情节严重,2017-01-16,30000.0
（2016）粤0306民初25708号,合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住址广东省,700000.0,严重,2017-01-25,
（2017）湘1381刑更1号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,湖南省,,,2017-01-13,5000.0
（2017）陕0324刑初6号,诈骗,金融诈骗罪|危害税收征管罪,税|诈骗|逃税,,小学,陕西省,80400.0,数额巨大,2017-01-23,30000.0
（2016）苏0582民初12146号,追偿权纠纷,危害税收征管罪,税,,,住所地张家港市,1006733.0,,2017-01-11,
（2016）云09民终436号,劳动合同纠纷,金融诈骗罪,诈骗,,,云南省临沧市,230000.0,,2017-01-04,
（2016）苏0582民初12326号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地江苏省,500000.0,,2017-01-11,
（2016）川0722执恢59号之一,,危害税收征管罪,税,,,四川省三台县,810000.0,,2017-01-16,
（2016）新4223民初2611号,委托合同纠纷,金融诈骗罪,诈骗,,,新疆维吾尔自治区,673492.0,,2017-01-25,
（2016）沪01民终12722号,买卖合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地中国香港特别行政区,206790.0,,2017-01-23,
（2016）沪02民申651号,,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,户籍地上海市,,,2017-01-19,
（2017）吉2406刑初5号,,金融诈骗罪,诈骗,,,吉林省和龙市,5000.0,数额较大,2017-01-13,5000.0
（2017）宁0105刑初295号,,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,小学,宁夏回族自治区,480000.0,特别严重,2017-01-30,20000.0
（2015）洪民二清（预）字第1号,,危害税收征管罪,税,,,江西省南昌市,,,2017-01-04,
（2017）鲁09刑更49号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款,,大专,山东省,300000.0,,2017-01-20,300000.0
（2016）浙03民终3720号,,危害税收征管罪,税,,,浙江省温州市,5015102.0,,2017-01-06,
（2016）川行申390号,,危害税收征管罪,税,,,四川省,,,2017-01-09,
（2017）豫1323刑初3号,,侵犯财产罪,敲诈勒索,,小学,河南省,50000.0,特别严重,2017-01-19,5000.0
（2016）津0103民初9641号,机动车交通事故责任纠纷,危害税收征管罪,税,60.0,,住所地天津市,500000.0,严重,2017-01-09,
（2017）皖0203执52号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,79571.0,,2017-01-13,
（2015）涪民初字第1778号,财产损害赔偿纠纷,金融诈骗罪,诈骗,,,四川省,119200.0,,2017-01-11,
（2016）浙0206民初7649号,承揽合同纠纷,危害税收征管罪,税,,,宁波市北仑区,29000.0,,2017-01-23,
（2017）内0625民初1954号,建设工程合同纠纷,危害税收征管罪,税,,,住所地郑州市,10140000.0,,2017-01-03,
（2016）湘1381刑初255号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,湖南省冷水江市,100.0,情节严重,2017-01-04,5000.0
（2016）苏07刑终272号,,贪污贿赂罪,贪污,,初中,江苏省,,,2017-01-06,
（2016）沪0117民初15837号,房屋租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,上海市,175419.0,,2017-01-16,
（2015）京知民初字第1202号,侵害发明专利权纠纷,侵犯知识产权罪,知识产权,,,住所地北京市,,,2017-01-13,
（2016）皖1821执1190号,,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,16000.0,,2017-01-04,
（2017）皖16刑终28号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,安徽省,1300.0,情节严重,2017-01-12,2000.0
（2016）沪0115民初83269号,买卖合同纠纷,危害税收征管罪,税,,,住所地上海市,9630.0,,2017-01-05,
（2016）沪0101民初7888号,劳务合同纠纷,危害税收征管罪,税,,,住所地上海市,1170689.0,,2017-01-17,
（2016）京02民终9331号,劳动争议,妨害对公司企业的管理秩序罪,欺诈,40.0,研究生,住所地北京市,5788.0,严重,2017-01-10,
（2016）桂0103刑初853号,盗窃,危害税收征管罪,税,,初中,广西壮族自治区南宁市青秀区,2412.0,特别严重,2017-01-09,1000.0
（2017）沪72执6号,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地上海市,43000.0,,2017-01-12,
（2016）湘12刑终378号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,湖南省,,,2017-01-06,1000.0
（2016）粤0604民再5号,民间借贷纠纷,破坏金融管理秩序罪,高利贷,,,广东省佛山市禅城区,242000.0,,2017-01-16,
（2016）赣1121民初2374号,劳动争议,危害税收征管罪,税,,本科,住所地江西省,38144745.0,严重,2017-01-17,
（2016）吉0182刑初452号,逃税,危害税收征管罪,税|逃税,,,户籍地榆树市,13317500.0,数额较大,2017-01-06,387888.0
（2016）渝0112民初13631号,商品房预售合同纠纷,危害税收征管罪,税,,,重庆市,422530.0,,2017-01-10,
（2016）湘1024民初990号,买卖合同纠纷,危害税收征管罪,税,,,住所地湖南省,4500000.0,,2017-01-03,
（2016）云0826民初385号,借款合同纠纷,危害税收征管罪,税,,小学,云南省江城哈尼族彝族自治县,119462.0,,2017-01-10,
（2016）苏1204刑初485号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款,,大专,江苏省,6280000.0,特别严重,2017-01-26,215000.0
（2016）云2801刑初558号,盗窃,危害税收征管罪,税,,初中,云南省,8780.0,数额较大,2017-01-20,5000.0
（2016）内01民终3039号,占有物返还纠纷,破坏金融管理秩序罪,高利贷,,,呼和浩特市,1300000.0,,2017-01-09,
（2016）浙0282民催92号,申请公示催告,危害税收征管罪,税,,,浙江省慈溪市,20000.0,,2017-01-04,
（2017）桂1202刑初15号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广西壮族自治区,150.0,,2017-01-16,2000.0
（2017）川3426刑初2号,诈骗,金融诈骗罪,诈骗,52.0,小学,四川省,3000.0,特别严重,2017-01-11,3000.0
（2017）宁0122民初83号,修理合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,高中,住所地宁夏回族自治区,62895.0,严重,2017-01-30,
（2017）冀04刑终12号,帮助毁灭、伪造证据,侵犯财产罪,敲诈勒索,,初中,河北省,,,2017-01-19,
（2017）津01民终631号,房屋买卖合同纠纷,妨害对公司企业的管理秩序罪,债券,,,住所地天津市,355754.0,,2017-01-25,
（2016）辽0726刑初211号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,辽宁省,2000.0,,2017-01-18,2000.0
（2016）云3124刑初229号,走私、贩卖、运输、制造毒品,走私罪,走私,,,云南省陇川县,3000.0,情节严重,2017-01-22,3000.0
（2016）鲁0211民初11447号,信用卡纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地上海市,84027.0,,2017-01-16,
（2016）浙02民终3474号,劳动争议,危害税收征管罪,税,,,浙江省宁波市,57600.0,,2017-01-16,
（2016）鲁0211民初11017号,信用卡纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地上海市,126843.0,,2017-01-16,
（2016）浙0782民初15908号,,侵犯知识产权罪,著作权,,,浙江省,30000.0,严重,2017-01-08,
（2016）苏1202民初5611号,买卖合同纠纷,危害税收征管罪,税,,,住所地泰州市,1091000.0,,2017-01-24,
（2016）粤0111民初11477号,侵害其他著作财产权纠纷,侵犯知识产权罪,知识产权|著作权,,,住所地广东省,600.0,,2017-01-18,
（2017）黑11刑更640号,,侵犯财产罪,敲诈勒索,,小学,黑龙江省,5000.0,,2017-01-17,5000.0
（2016）辽1002刑初299号,非法经营,扰乱市场秩序罪,非法经营,,大专,辽阳市,467840.0,情节严重,2017-01-24,30000.0
（2017）川0781执62号,,妨害对公司企业的管理秩序罪,债券|股票,,,住所地四川省,210272.0,,2017-01-06,
（2016）云3124刑初237号,走私、贩卖、运输、制造毒品,走私罪,走私,,,云南省陇川县,3000.0,,2017-01-09,3000.0
（2016）豫0305财保832号之一,,危害税收征管罪,税,,,河南省洛阳市涧西区,1000000.0,,2017-01-17,
（2016）浙0402民初7029号,买卖合同纠纷,危害税收征管罪,税,,,浙江省嘉兴市南湖区,69719.0,,2017-01-03,
（2016）沪73民终5号,著作权权属、侵权纠纷,侵犯知识产权罪,知识产权|著作权,,,住所地中华人民共和国广东省,10000000.0,,2017-01-05,
（2016）浙0212民初9232号,买卖合同纠纷,危害税收征管罪,税,,,宁波市鄞州区,433200.0,,2017-01-10,
（2016）鄂0192刑初603号,非法经营,侵犯知识产权罪|扰乱市场秩序罪,假冒注册商标|非法经营,,初中,湖北省,102438.0,情节严重,2017-01-05,10000.0
（2017）吉0381刑初22号,诈骗,金融诈骗罪,诈骗,,,吉林省,348263.0,数额较大,2017-01-23,40000.0
（2016）苏1112民初2693号,承揽合同纠纷,危害税收征管罪,税,,,住所地江苏省,343486.0,,2017-01-19,
（2017）辽06刑更7号,,扰乱市场秩序罪,非法经营,,,辽宁省,,,2017-01-24,900000.0
