案号,案由,命中罪名类别,命中关键词,犯罪人的年龄,受教育程度,案件地点,涉案金额_元,案件严重程度,审判时间,罚金金额_元
（2018）豫71行终291号,其他行政行为,妨害对公司企业的管理秩序罪,欺诈,,,身份证记载住云南省,,,2019-01-30,
（2019）陕04刑更32号,诈骗,金融诈骗罪,诈骗,,,陕西省,9000.0,,2019-01-30,9000.0
（2019）皖1103执125号,买卖合同纠纷,妨害对公司企业的管理秩序罪,债券|股票,,,安徽省,44355.0,,2019-01-17,
（2018）苏03民终5145号,商品房销售合同纠纷,危害税收征管罪,税,,,住所地徐州市,4693074.0,,2019-01-09,
（2018）苏1012民初8065号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所在扬州市,1000000.0,,2019-01-10,
（2019）云03刑更309号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,云南省,,,2019-01-22,
（2018）沪0110执3248号,财产损害赔偿纠纷,妨害对公司企业的管理秩序罪,股票,,,住所地上海市,,,2019-01-25,
（2019）苏8602执4号,侵害商标权纠纷,侵犯知识产权罪,假冒注册商标,,,,10000.0,,2019-01-14,
（2019）渝03刑更184号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,重庆市,25000.0,,2019-01-28,
（2018）湘0105刑初1067号,职务侵占,贪污贿赂罪,职务侵占,,初中,户籍地湖南省,194596.0,特别严重,2019-01-10,
（2019）浙0281执505号,房屋租赁合同纠纷,危害税收征管罪,税,,,浙江省,179652.0,,2019-01-22,
（2018）苏0682民初5702号,定作合同纠纷,危害税收征管罪,税,,,住所地如皋市,820000.0,,2019-01-24,
（2019）苏01刑终2号,诈骗,金融诈骗罪,诈骗,,,江苏省,20093.0,数额较大,2019-01-18,35000.0
（2019）晋0581刑初18号,强迫交易,扰乱市场秩序罪,强迫交易,,小学,山西省高平市,702740.0,情节严重,2019-01-30,30000.0
（2018）沪0113民初24299号,民间借贷纠纷,金融诈骗罪,诈骗,,,上海市,50000.0,,2019-01-21,
（2018）鲁0791刑初256号,故意伤害,危害税收征管罪,税,,初中,山东省,63834.0,较轻,2019-01-07,
（2019）冀11刑更99号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,大专,河北省,770000.0,,2019-01-18,
（2019）苏0505刑初1号,非法经营,扰乱市场秩序罪,非法经营,,小学,苏州市,133176.0,情节严重,2019-01-21,13000.0
（2018）粤2071行初1456号,乡政府,危害税收征管罪,税,,,住所地广东省,445832090.0,,2019-01-18,
（2018）沪0106民初47466号,所有权确认纠纷,危害税收征管罪,税,,,住所地上海市,25800.0,,2019-01-14,
（2019）辽0503刑初17号,盗窃,侵犯财产罪,敲诈勒索,,,本溪市,30000.0,特别严重,2019-01-22,30000.0
（2019）闽06刑更104号,非法经营,扰乱市场秩序罪,非法经营,,小学,福建省,1000.0,,2019-01-28,
（2019）云03刑更1327号,走私、贩卖、运输、制造毒品,走私罪,走私,,文盲,云南省,30000.0,,2019-01-25,
（2019）苏01刑更433号,受贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,江苏省,100000.0,,2019-01-22,
（2018）苏0585民初6813号,买卖合同纠纷,危害税收征管罪,税,,,住所地江苏省,78649.0,,2019-01-04,
（2018）沪0110刑初173号,假冒注册商标,侵犯知识产权罪|扰乱市场秩序罪,假冒注册商标|知识产权|非法经营,,,浙江省,8000.0,情节严重,2019-01-21,150000.0
（2019）闽04刑更73号,非法买卖制毒物品,危害税收征管罪,税,,,住所地县,180000.0,,2019-01-22,180000.0
（2019）鲁06刑更39号,盗窃,危害税收征管罪,税,,大专,山东省,,,2019-01-29,50000.0
（2019）苏01民辖终28号,侵害商标权纠纷,侵犯知识产权罪,知识产权,,,住所地江苏省,2000000.0,,2019-01-16,
（2018）豫1728民初3826号,金融借款合同纠纷,贪污贿赂罪,挪用资金,,,住所地河南省,2230000.0,,2019-01-11,
（2019）苏0106刑初141号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,江苏省,1400.0,,2019-01-11,3000.0
（2018）粤0106民初20984号,合同纠纷,危害税收征管罪,税,,,住址广州市,10000000.0,,2019-01-10,
（2018）鲁04行终181号,行政征收,妨害对公司企业的管理秩序罪,欺诈,,,山东省枣庄市,16140.0,,2019-01-21,
（2018）内01民终3148号,买卖合同纠纷,危害税收征管罪,税,,,呼和浩特市,7000.0,,2019-01-17,
渝0233刑初266号,受贿；行贿,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|行贿|贪污|贿赂,,本科,户籍地重庆市,200000.0,数额较大,2019-01-22,200000.0
（2016）云0112民初6606号,房屋租赁合同纠纷,危害税收征管罪,税,,,云南省昆明市西山区,1917396.0,严重,2019-01-04,
（2019）黑01刑更505号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,黑龙江省,50000.0,,2019-01-25,
（2018）闽0212民初5296号,民间借贷纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,欺诈|税,,,福建省,320000.0,,2019-01-28,
（2019）苏0116刑初76号,寻衅滋事,侵犯财产罪,敲诈勒索,,,江苏省,,轻微,2019-01-25,
（2019）晋08刑终47号,贪污,危害税收征管罪|扰乱市场秩序罪|侵犯财产罪|贪污贿赂罪,强迫交易|敲诈勒索|税|贪污|贿赂,,高中,山西省,93003089.0,较轻,2019-01-28,200000.0
（2019）黔01民终106号,合同纠纷,扰乱市场秩序罪,非法经营,,,住所地贵州省,471291.0,,2019-01-25,
（2019）粤0607刑初20号,诈骗,金融诈骗罪|侵犯财产罪,敲诈勒索|诈骗,,小学,广东省佛山市三水区,15000.0,特别严重,2019-01-11,3000.0
（2019）京0117民初531号,商品房预售合同纠纷,危害税收征管罪,税,,,住所地北京市,1136306.0,,2019-01-22,
（2019）辽01刑更157号,走私、贩卖、运输、制造毒品,走私罪,走私,,高中,辽宁省,,,2019-01-16,
（2018）甘1102民初3737号,买卖合同纠纷,危害税收征管罪,税,,,住所地定西市,1137199.0,严重,2019-01-15,
（2019）云03刑更1102号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,云南省,50000.0,,2019-01-25,
（2018）吉0182民初6685号,机动车交通事故责任纠纷,危害税收征管罪,税,,,吉林省榆树市,17560.0,,2019-01-30,
（2018）鄂0116民初6594号,机动车交通事故责任纠纷,危害税收征管罪,税,60.0,,湖北省武汉市黄陂区,858424.0,严重,2019-01-30,
（2018）鲁1403刑初159号,生产、销售假药；生产、销售有毒、有害食品,生产销售伪劣商品罪,假药,,中专,山东省德州市陵城区,15.0,情节严重,2019-01-22,50000.0
（2019）豫17民终357号,买卖合同纠纷,侵犯财产罪,敲诈勒索,,,住所地北京市,16048.0,严重,2019-01-31,
（2019）闽0623刑初49号,故意伤害,金融诈骗罪,诈骗,,文盲,福建省,30000.0,特别严重,2019-01-29,6000.0
（2018）浙1081刑初1595号,强迫交易；非法占用农用地,妨害对公司企业的管理秩序罪|危害税收征管罪|扰乱市场秩序罪,债券|强迫交易|税,,小学,地点都是在长屿管理区,2615000.0,情节严重,2019-01-28,100000.0
（2018）鲁0502民初5823号,房屋买卖合同纠纷,危害税收征管罪,税,,,东营市东营区,3250000.0,,2019-01-30,
（2018）浙02民申227号,金融借款合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,浙江省,,严重,2019-01-08,
（2018）豫0105执14102号,刑事,破坏金融管理秩序罪,非法吸收公众存款,,,河南省,42112.0,,2019-01-17,150000.0
（2018）苏1323刑初559号,诈骗,金融诈骗罪,诈骗,,,江苏省,35000.0,数额较大,2019-01-31,10000.0
（2019）豫0102民初1593号,买卖合同纠纷,危害税收征管罪,税,,,住所地郑州市,264384.0,,2019-01-30,
（2019）甘29刑更73号,走私、贩卖、运输、制造毒品,走私罪,走私,,,甘肃省,3000.0,,2019-01-30,3000.0
（2018）冀民终1181号,商标权权属纠纷,侵犯知识产权罪,著作权,,,河北省,50000.0,严重,2019-01-11,
（2018）湘0211民初3748号,合同纠纷,危害税收征管罪,税,,,住所地为湖南省,3220.0,,2019-01-17,
（2018）京0115民初19810号,房屋买卖合同纠纷,危害税收征管罪,税,,,北京市,1130000.0,,2019-01-11,
（2019）鲁06刑更69号,走私、贩卖、运输、制造毒品,走私罪|危害税收征管罪,税|走私,,小学,山东省,,,2019-01-29,10000.0
（2019）鄂01刑更38号,敲诈勒索,侵犯财产罪,敲诈勒索,,大专,湖北省,8000.0,,2019-01-22,8000.0
（2018）渝0156民初5252号,商品房销售合同纠纷,危害税收征管罪,税,,,住所地武隆县,362840.0,,2019-01-18,
（2018）京73行初12656号,行政裁决,侵犯知识产权罪,知识产权,,,住所地北京市,,,2019-01-08,
（2019）渝03刑更116号,诈骗,金融诈骗罪,诈骗,,初中,重庆市,10000.0,,2019-01-15,10000.0
（2018）湘0602执恢569号之三,建设工程施工合同纠纷,破坏金融管理秩序罪,非法吸收公众存款,,,住所地湖南省,1530000.0,,2019-01-04,
（2019）云71刑更57号,走私、贩卖、运输、制造毒品,走私罪,走私,,文盲,现在中华人民共和国云南省,,,2019-01-25,
（2019）辽0114民初28号,服务合同纠纷,危害税收征管罪,税,,,住址沈阳市,410.0,,2019-01-22,
（2018）粤7101行初3647号,其他行政行为,危害税收征管罪,税,,,住址广州市,50.0,严重,2019-01-24,
（2019）豫07刑更147号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,河南省,,,2019-01-29,30000.0
（2018）粤0307民初15914号,房屋租赁合同纠纷,金融诈骗罪,诈骗,,,广东省,580000.0,,2019-01-08,
（2019）湘01刑更188号,走私、贩卖、运输、制造毒品,走私罪,走私,,,湖南省,,,2019-01-14,10000.0
（2019）赣02刑终4号,交通肇事,危害税收征管罪,税,,小学,住所地宁国市,1000000.0,,2019-01-30,
（2019）沪0120民初2155号,房屋买卖合同纠纷,危害税收征管罪,税,,,户籍地上海市,2160000.0,,2019-01-21,
（2019）皖0503执167号之一,,妨害对公司企业的管理秩序罪,债券|股票,,,马鞍山市,99328.0,,2019-01-23,
（2018）浙04民终2522号,信用卡纠纷,妨害对公司企业的管理秩序罪|金融诈骗罪|扰乱市场秩序罪,合同诈骗|欺诈|诈骗,,,浙江省,200000.0,,2019-01-10,
（2019）辽1004刑初13号,盗窃,金融诈骗罪,诈骗,,初中,辽阳市,7300.0,特别严重,2019-01-29,15000.0
（2018）新01民终3580号,被继承人债务清偿纠纷,危害税收征管罪,税,,,新疆维吾尔自治区,1050000.0,,2019-01-07,
（2018）鲁1425民初3626号,房屋租赁合同纠纷,危害税收征管罪,税,,,山东省齐河县,345060.0,,2019-01-21,
（2018）陕0302民初3072号,机动车交通事故责任纠纷,危害税收征管罪,税,75.0,,住所地陕西省,37510.0,,2019-01-30,
（2019）鲁0481执425号之六,其他案由,妨害对公司企业的管理秩序罪,债券|股票,,,滕州市,506.0,,2019-01-30,
（2019）晋09刑更43号,诈骗,金融诈骗罪,诈骗,,,山西省,20000.0,,2019-01-18,20000.0
（2018）甘01民终3674号,机动车交通事故责任纠纷,危害税收征管罪,税,,,甘肃省,98256.0,严重,2019-01-29,
（2018）闽0302民初3901号,买卖合同纠纷,危害税收征管罪,税,,,住所地广东省,911200.0,,2019-01-31,
（2018）京0105民初103762号,委托理财合同纠纷,破坏金融管理秩序罪,非法吸收公众存款|非法集资,,,住所地北京市,300000.0,,2019-01-31,
（2019）粤04刑初1号,走私普通货物、物品,走私罪|危害税收征管罪,税|走私|逃税,,小学,广东省,1444.0,情节严重,2019-01-18,2000.0
（2018）湘12民终1859号,劳动争议,危害税收征管罪,税,,,住所地广东省,1031065.0,严重,2019-01-03,
（2018）沪0115民初71383号,承揽合同纠纷,破坏金融管理秩序罪|危害税收征管罪,税|非法吸收公众存款,,,住所地上海市,729300.0,严重,2019-01-02,
（2018）粤73民终4082号,著作权权属、侵权纠纷,侵犯知识产权罪,知识产权|著作权,,,住所地广东省,800.0,,2019-01-04,
（2018）粤06民终3183号,进出口代理合同纠纷,破坏金融管理秩序罪|危害税收征管罪,外汇|税,,,住所地广东省,9577813.0,,2019-01-09,
（2018）粤2071民初24973号,财产损害赔偿纠纷,贪污贿赂罪,挪用资金,,,住址广东省,35200.0,,2019-01-07,
（2019）晋0322执160号之一,其他案由,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,,山西省,320000.0,,2019-01-30,30000.0
（2018）粤0307民初15789号,房屋租赁合同纠纷,金融诈骗罪,诈骗,,,广东省深圳市龙岗区,6552.0,,2019-01-08,
（2019）鄂0111刑初27号,走私、贩卖、运输、制造毒品,走私罪,走私,,,湖北省,400.0,,2019-01-09,20000.0
（2019）闽0124民初432号,民间借贷纠纷,破坏金融管理秩序罪,非法吸收公众存款,,,福建省,20000.0,,2019-01-30,
（2018）湘0211民初1518号,民间借贷纠纷,危害税收征管罪,税,,,湖南省,15620000.0,,2019-01-10,
（2018）湘06刑终249号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款|非法集资,,初中,住所地湖南省,191888820.0,严重,2019-01-03,300000.0
（2018）鲁民终1919号,与公司有关的纠纷,妨害对公司企业的管理秩序罪,股票,,,户籍地福建省,20980000.0,严重,2019-01-07,
（2018）宁0104民初13417号,侵权责任纠纷,危害税收征管罪,税,,,宁夏回族自治区,420000.0,,2019-01-22,
（2018）湘1381民初1150号,房屋买卖合同纠纷,危害税收征管罪,税,,,住所地新化县,589800.0,严重,2019-01-14,
（2019）云71刑更165号,走私、贩卖、运输、制造毒品；非法持有、私藏枪支、弹药,走私罪,走私,,文盲,现在中华人民共和国云南省,3000.0,,2019-01-25,
（2018）京73行初1162号,行政裁决,侵犯知识产权罪,知识产权,,,所地美利坚合众国印第安纳州印第安纳波利斯市,,严重,2019-01-25,
（2019）鄂0102刑初39号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,户籍地武汉市,500.0,,2019-01-18,1000.0
（2019）鄂06刑更205号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,湖北省,2000.0,,2019-01-24,2000.0
（2019）浙刑更27号,走私、贩卖、运输、制造毒品,走私罪,走私,,,浙江省,,,2019-01-28,
（2019）川13刑更139号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,四川省,50000.0,,2019-01-22,
（2019）渝01刑更114号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,重庆市,10000.0,,2019-01-29,
（2019）川08刑更182号,非法经营,扰乱市场秩序罪,非法经营,,初中,四川省广元市,20000.0,,2019-01-23,20000.0
（2018）豫1702民初11167号,案外人执行异议之诉,危害税收征管罪,税,,,河南省,4692777.0,数额较大,2019-01-28,
（2018）云2301民初2596号,建设工程施工合同纠纷,危害税收征管罪,税,,小学,云南省楚雄市,949291.0,,2019-01-09,
（2018）桂1021民初672号,债权转让合同纠纷,危害税收征管罪,税,,,广西壮族自治区田阳县,6000000.0,,2019-01-09,
（2019）湘0304刑申2号,贪污,贪污贿赂罪,贪污,,,湖南省,,,2019-01-16,
（2018）川1421民初3316号,房屋买卖合同纠纷,危害税收征管罪,税,,,四川省仁寿县,68990000.0,,2019-01-11,
（2019）浙1003执188号,其他案由,金融诈骗罪,诈骗,,,台州市,3000.0,,2019-01-14,3000.0
（2019）内0621刑初46号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,公诉机关内蒙古自治区,,情节严重,2019-01-21,3000.0
（2018）湘0302民初1326号,生命权、健康权、身体权纠纷,侵犯知识产权罪,著作权,,,户籍地湖南省,103357.0,轻微,2019-01-24,500.0
（2019）京0491民初1538号,著作权权属纠纷,侵犯知识产权罪,著作权,,,住所地北京市,10000.0,严重,2019-01-31,
（2019）内2221民初49号,民间借贷纠纷,危害税收征管罪,税,,,内蒙古自治区,126000.0,,2019-01-11,
（2019）苏01刑更460号,其他刑事犯,危害税收征管罪,税,,高中,江苏省,,,2019-01-25,100000.0
（2019）湘刑更63号,走私、贩卖、运输、制造毒品,走私罪,走私,,,湖南省,,,2019-01-29,
（2018）鲁02民初1798号,著作权权属、侵权纠纷,侵犯知识产权罪,著作权,,,住所地广东省,1300.0,,2019-01-22,
（2019）粤1322刑初62号,开设赌场,破坏金融管理秩序罪,高利贷,,,广东省博罗县,36950.0,情节严重,2019-01-30,10000.0
（2018）京0111民初15604号,租赁合同纠纷,妨害对公司企业的管理秩序罪,欺诈,,,住所地北京市,880000.0,严重,2019-01-25,
（2018）沪01民特621号,申请撤销仲裁裁决,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿,,,住所地深圳市,80.0,,2019-01-22,
（2019）桂刑更99号,走私、贩卖、运输、制造毒品,走私罪,走私,,,广西壮族自治区,,,2019-01-21,
（2018）川01民终16270号,房屋买卖合同纠纷,危害税收征管罪,税,20.0,,四川省成都市,4600000.0,严重,2019-01-03,
（2018）苏0682民初7852号,返还原物纠纷,危害税收征管罪,税,,,户籍地如皋市,457319.0,,2019-01-31,
（2018）粤0306民初16964号,著作权权属、侵权纠纷,侵犯知识产权罪,著作权,,,户籍地广东省,1117.0,,2019-01-08,
（2019）川01刑更415号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,四川省,100000.0,,2019-01-15,
（2019）苏0281刑初125号,诈骗,金融诈骗罪,诈骗,,,江苏省,3704.0,特别严重,2019-01-29,2000.0
（2019）渝03刑更15号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,重庆市,40000.0,,2019-01-09,
（2018）湘04民终2346号,建设工程合同纠纷,危害税收征管罪,税,,,湖南省,5939855.0,,2019-01-23,
（2019）川01刑更319号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,四川省,1400.0,,2019-01-15,100000.0
（2019）皖05刑更35号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,安徽省,,,2019-01-22,
（2019）苏04刑更304号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,江苏省,,,2019-01-25,10000.0
（2018）浙0111民初7009号,买卖合同纠纷,危害税收征管罪,税,,,杭州市富阳区,106911.0,,2019-01-23,
（2019）川13刑更86号,走私、贩卖、运输、制造毒品,走私罪,走私,,高中,四川省,,,2019-01-22,
（2019）川01刑更773号,走私、贩卖、运输、制造毒品,走私罪,走私,,文盲,四川省,10000.0,,2019-01-21,
（2018）粤0306执13756号之二,借款合同纠纷,妨害对公司企业的管理秩序罪,股票,,,住址湖南省,460000.0,,2019-01-21,
（2019）苏0583刑初27号,虚开增值税专用发票、用于骗取出口退税、抵扣税款发票,危害税收征管罪,税|虚开增值税|虚开增值税专用发票,,大专,住所地昆山市,192464.0,特别严重,2019-01-17,70000.0
（2019）云71刑更267号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,现在中华人民共和国云南省,,,2019-01-25,
（2018）豫01民终19937号,房屋买卖合同纠纷,危害税收征管罪,税,,,住所地郑州市,1075545.0,,2019-01-17,
（2019）辽11刑更281号,受贿；贪污,妨害对公司企业的管理秩序罪|贪污贿赂罪,受贿|贪污,,,辽宁省,,,2019-01-30,
（2019）辽11刑更9号,走私、贩卖、运输、制造毒品,走私罪,走私,,,辽宁省,20000.0,,2019-01-30,20000.0
（2019）鲁02刑更239号,故意伤害；敲诈勒索,侵犯财产罪,敲诈勒索,,,山东省,358598.0,,2019-01-25,
（2019）晋01民终359号,房屋买卖合同纠纷,金融诈骗罪|扰乱市场秩序罪,合同诈骗|诈骗,,,住所地太原市,780975.0,,2019-01-28,
（2018）苏0681民初8796号,机动车交通事故责任纠纷,危害税收征管罪,税,,,住所地南通市,1000000.0,严重,2019-01-17,
（2018）宁0121民初3420号,建设工程施工合同纠纷,危害税收征管罪,税,,,住所地宁夏回族自治区,1484370.0,严重,2019-01-30,
（2019）湘刑更30号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,湖南省,,,2019-01-31,
（2018）京73民终2005号,侵害作品信息网络传播权纠纷,侵犯知识产权罪,知识产权|著作权,,,住所地甘肃省,40000.0,,2019-01-22,
（2019）皖1824行审4号,其他行政行为,危害税收征管罪,税,,,住所地安徽省,179476.0,,2019-01-25,
（2019）川09刑终6号,非法吸收公众存款,破坏金融管理秩序罪,非法吸收公众存款,,初中,四川省,172540000.0,,2019-01-23,100000.0
（2019）陕05刑更230号,诈骗,金融诈骗罪,诈骗,,小学,陕西省,50000.0,,2019-01-25,50000.0
（2018）鲁0402民初3349号,金融借款合同纠纷,危害税收征管罪,税,,,住所地枣庄市,300000.0,,2019-01-22,
（2018）苏02民终4088号,债权人撤销权纠纷,危害税收征管罪,税,,,住所地苏州市,1059268.0,,2019-01-29,
（2019）云71刑更14号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,现在中华人民共和国云南省,,,2019-01-25,
（2019）冀04刑更78号,聚众斗殴；盗窃；故意伤害；虚开增值税专用发票、用于骗取出口退税、抵扣税款发票,危害税收征管罪,税|虚开增值税|虚开增值税专用发票,,,河北省,,,2019-01-28,10200000.0
（2019）辽1103执异14号,申请承认与执行法院判决、仲裁裁决案件；诈骗,破坏金融管理秩序罪|金融诈骗罪,诈骗|非法吸收公众存款,,,盘锦市,50000.0,,2019-01-30,500000.0
（2019）冀04刑更85号,诈骗,金融诈骗罪,诈骗,,,河北省,10556.0,,2019-01-28,100000.0
（2019）黔0113民初83号,租赁合同纠纷,金融诈骗罪|扰乱市场秩序罪,虚假广告|诈骗,,,贵州省贵阳市白云区,56000.0,,2019-01-08,
（2019）鲁1325民初4号,确认合同有效纠纷,危害税收征管罪,税,,,山东省,1200000.0,,2019-01-04,
（2019）琼9027刑初7号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,海南省,8000.0,情节严重,2019-01-15,8000.0
（2018）陕01民终12516号,劳动争议,危害税收征管罪,税,,,住所地陕西省,72000.0,,2019-01-22,
（2018）云0127民初2270号,民间借贷纠纷,危害税收征管罪,税,,,云南省,500000.0,,2019-01-24,
（2019）粤03刑终231号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,广东省,1300.0,,2019-01-25,2000.0
（2019）黔01执21号,侵害商标权纠纷,侵犯知识产权罪,假冒注册商标,,,贵州省,20000.0,,2019-01-15,20000.0
（2018）沪0101民初16164号,金融借款合同纠纷,危害税收征管罪,税,,,自由贸易试验区,200000.0,,2019-01-15,
（2019）吉07刑更80号,其他刑事犯,金融诈骗罪,诈骗,,专科,吉林省,328475.0,,2019-01-29,300000.0
（2019）浙08刑更640号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,浙江省,40000.0,,2019-01-29,
（2019）渝04民初1295号,侵害作品放映权纠纷,侵犯知识产权罪,著作权,,,住所地上海市,2000.0,,2019-01-21,
（2018）晋07民终2486号,民间借贷纠纷,破坏金融管理秩序罪,高利贷,,,山西省晋中市,134400.0,,2019-01-04,
（2019）豫13刑终117号,生产、销售伪劣产品,金融诈骗罪,诈骗,,小学,河南省,1603.0,严重,2019-01-28,350000.0
（2018）京0101民初3486号,借款合同纠纷,金融诈骗罪,诈骗,,,北京市,119900.0,,2019-01-30,
（2018）鲁16民终2223号,返还原物纠纷,危害税收征管罪,税,,,山东省滨州市,3520000.0,,2019-01-07,
（2019）宁02刑更166号,诈骗,金融诈骗罪,诈骗,,,宁夏回族自治区,200000.0,,2019-01-29,40000.0
（2019）桂0521刑初48号,容留他人吸毒,走私罪,走私,,初中,广西壮族自治区合浦县,5000.0,特别严重,2019-01-14,5000.0
（2018）沪0113民初17179号,民间借贷纠纷,危害税收征管罪,税,,,户籍地安徽省,50000.0,,2019-01-11,
（2018）川01民终2485号,建设工程分包合同纠纷,危害税收征管罪,税,,,四川省成都市,3731740.0,,2019-01-18,20000.0
（2019）鄂10刑更83号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,湖北省,60000.0,,2019-01-16,60000.0
（2019）川01刑终21号,敲诈勒索,侵犯财产罪,敲诈勒索,,初中,四川省,6000.0,轻微,2019-01-25,6000.0
（2018）浙0782刑初128号,诈骗,妨害对公司企业的管理秩序罪|金融诈骗罪,股票|诈骗,,初中,浙江省,6153520.0,数额特别巨大,2019-01-16,40000.0
（2018）粤03民终25679号,房屋买卖合同纠纷,危害税收征管罪,税,,,广东省深圳市,,,2019-01-16,
（2019）冀09刑更24号,诈骗,金融诈骗罪,诈骗,,,河北省,,,2019-01-28,
（2019）川01刑更440号,走私、贩卖、运输、制造毒品,走私罪,走私,,文盲,四川省,30000.0,,2019-01-15,
（2018）豫0726民初3468号,民间借贷纠纷,金融诈骗罪,诈骗,,,河南省,20200.0,,2019-01-18,
